word	lemma
passel	passel
barrette	barrette
changeup	changeup
tiramisu	tiramisu
cooktop	cooktop
gluteus	gluteus
fraktur	fraktur
snafu	snafu
techie	techie
kickball	kickball
lox	lox
bassinet	bassinet
daikon	daikon
nanotube	nanotube
slickrock	slickrock
falafel	falafel
caboose	caboose
boondoggle	boondoggle
swingman	swingman
provolone	provolone
photosphere	photosphere
stoner	stoner
rezoning	rezoning
stingray	stingray
zookeeper	zookeeper
credenza	credenza
gorgonzola	gorgonzola
hottie	hottie
peeve	peeve
narcissist	narcissist
cybersecurity	cybersecurity
catchall	catchall
mudroom	mudroom
orthopedist	orthopedist
bundt	bundt
spiderweb	spiderweb
videographer	videographer
homeschooling	homeschooling
pitchman	pitchman
preproduction	preproduction
birdhouse	birdhouse
bobber	bobber
newbie	newbie
bleacher	bleacher
burg	burg
ceramist	ceramist
sanitarium	sanitarium
halfpipe	halfpipe
cellblock	cellblock
boomtown	boomtown
snowbank	snowbank
roadbed	roadbed
chainring	chainring
doozy	doozy
preteen	preteen
pushback	pushback
morph	morph
beanie	beanie
racecar	racecar
cannoli	cannoli
strider	strider
ridgetop	ridgetop
soundstage	soundstage
jambalaya	jambalaya
watercooler	watercooler
ancho	ancho
preventer	preventer
infotech	infotech
clunker	clunker
cosmetology	cosmetology
trifecta	trifecta
pinup	pinup
feedlot	feedlot
stepparent	stepparent
superstardom	superstardom
gantlet	gantlet
timberland	timberland
likability	likability
temblor	temblor
multiverse	multiverse
colic	colic
garbanzo	garbanzo
dodgeball	dodgeball
telepresence	telepresence
bonobo	bonobo
pinwheel	pinwheel
housedress	housedress
sheetrock	sheetrock
teepee	teepee
soba	soba
collimation	collimation
kook	kook
veep	veep
carpaccio	carpaccio
shortcake	shortcake
anticorruption	anticorruption
tallgrass	tallgrass
hardtail	hardtail
packbag	packbag
puter	puter
aerie	aerie
updraft	updraft
brights	brights
deliveryman	deliveryman
semifinalist	semifinalist
skybox	skybox
shirtwaist	shirtwaist
homestand	homestand
moviegoer	moviegoer
daypack	daypack
goop	goop
rigatoni	rigatoni
criminalist	criminalist
freeride	freeride
starcraft	starcraft
houseguest	houseguest
timberline	timberline
sandhill	sandhill
overachiever	overachiever
roaster	roaster
anime	anime
tapenade	tapenade
bottler	bottler
gobble	gobble
tyrannosaur	tyrannosaur
crapshoot	crapshoot
spritz	spritz
pinata	pinata
mesclun	mesclun
toque	toque
hayride	hayride
showstopper	showstopper
windstorm	windstorm
gazillion	gazillion
jackknife	jackknife
dotcom	dotcom
nametag	nametag
hymnal	hymnal
estrus	estrus
goofball	goofball
highball	highball
wallboard	wallboard
nitroglycerin	nitroglycerin
uplink	uplink
upload	upload
patroller	patroller
oxycodone	oxycodone
grandstanding	grandstanding
roadkill	roadkill
anchorwoman	anchorwoman
takedown	takedown
challah	challah
barkeep	barkeep
spacewalk	spacewalk
hypoglycemia	hypoglycemia
terrarium	terrarium
topwater	topwater
bowhunter	bowhunter
schooler	schooler
raingear	raingear
snowsuit	snowsuit
gyno	gyno
zine	zine
rainfly	rainfly
subspace	subspace
andro	andro
thimerosal	thimerosal
castoff	castoff
falloff	falloff
pinon	pinon
fontina	fontina
panfish	panfish
tippet	tippet
crankbait	crankbait
eland	eland
quarterbacking	quarterbacking
whiner	whiner
lockbox	lockbox
inclusivity	inclusivity
aircar	aircar
archrival	archrival
fingerling	fingerling
sidewinder	sidewinder
subwoofer	subwoofer
exerciser	exerciser
buckboard	buckboard
neediness	neediness
mensch	mensch
tomatillo	tomatillo
teleportation	teleportation
pumper	pumper
lightsaber	lightsaber
rinderpest	rinderpest
shuffleboard	shuffleboard
nonpartisan	nonpartisan
roundtrip	roundtrip
feces	feces
tike	tike
biohazard	biohazard
touchpad	touchpad
airboat	airboat
coeditor	coeditor
uniter	uniter
stickball	stickball
deadfall	deadfall
backstretch	backstretch
mirin	mirin
rutabaga	rutabaga
tricorder	tricorder
savor	savor
tuneup	tuneup
assemblywoman	assemblywoman
tempura	tempura
showboat	showboat
word	lemma
mom	mom
senator	senator
web	web
attorney	attorney
internet	internet
baseball	baseball
basketball	basketball
creek	creek
clip	clip
teaspoon	teaspoon
tech	tech
congressman	congressman
ranch	ranch
quarterback	quarterback
makeup	makeup
lawsuit	lawsuit
jewelry	jewelry
gasoline	gasoline
teen	teen
railroad	railroad
website	website
tablespoon	tablespoon
pitcher	pitcher
freshman	freshman
backyard	backyard
sidewalk	sidewalk
announcer	announcer
prep	prep
workout	workout
skillet	skillet
playoff	playoff
taliban	taliban
rookie	rookie
mommy	mommy
hometown	hometown
touchdown	touchdown
cookie	cookie
videotape	videotape
lineup	lineup
metro	metro
aging	aging
laptop	laptop
cleanup	cleanup
elk	elk
courthouse	courthouse
sophomore	sophomore
dude	dude
pumpkin	pumpkin
flashlight	flashlight
freeway	freeway
linebacker	linebacker
blog	blog
windshield	windshield
backpack	backpack
confederate	confederate
inning	inning
lumber	lumber
juror	juror
coyote	coyote
cilantro	cilantro
asteroid	asteroid
teammate	teammate
bookstore	bookstore
headnote	headnote
sedan	sedan
strategist	strategist
curb	curb
dime	dime
pueblo	pueblo
anthrax	anthrax
salsa	salsa
interstate	interstate
bartender	bartender
mustache	mustache
baseman	baseman
shooter	shooter
softball	softball
tsunami	tsunami
hitter	hitter
rehab	rehab
roommate	roommate
bailout	bailout
breakup	breakup
twitter	twitter
momma	momma
buildup	buildup
condo	condo
filmmaker	filmmaker
paycheck	paycheck
dorm	dorm
lobbyist	lobbyist
postseason	postseason
reelection	reelection
ballpark	ballpark
foreclosure	foreclosure
offseason	offseason
sulfur	sulfur
tofu	tofu
preseason	preseason
congresswoman	congresswoman
nighttime	nighttime
pitching	pitching
zucchini	zucchini
backcountry	backcountry
bathtub	bathtub
eggplant	eggplant
abs	abs
browser	browser
firefighter	firefighter
chile	chile
recount	recount
intern	intern
staffer	staffer
cornerback	cornerback
backseat	backseat
euro	euro
bullpen	bullpen
buttermilk	buttermilk
cellphone	cellphone
shortstop	shortstop
standoff	standoff
ipod	ipod
sushi	sushi
homeowner	homeowner
cyberspace	cyberspace
aspen	aspen
makeover	makeover
outfielder	outfielder
halftime	halftime
drugstore	drugstore
frosting	frosting
classmate	classmate
homer	homer
resume	resume
ax	ax
diaper	diaper
counterterrorism	counterterrorism
app	app
iphone	iphone
pecan	pecan
watermelon	watermelon
gridlock	gridlock
timeline	timeline
grad	grad
minivan	minivan
roundtable	roundtable
lefty	lefty
matchup	matchup
winery	winery
tarp	tarp
lineman	lineman
cornmeal	cornmeal
fastball	fastball
swath	swath
takeoff	takeoff
midterm	midterm
faucet	faucet
pollster	pollster
coauthor	coauthor
beltway	beltway
sync	sync
lacrosse	lacrosse
cornstarch	cornstarch
bayou	bayou
missy	missy
fundraiser	fundraiser
kickoff	kickoff
sled	sled
reliever	reliever
storefront	storefront
bluegrass	bluegrass
dermatologist	dermatologist
tenderloin	tenderloin
rooster	rooster
levee	levee
brunch	brunch
fest	fest
expletive	expletive
cheerleader	cheerleader
condominium	condominium
dumpster	dumpster
dispatcher	dispatcher
rancher	rancher
desegregation	desegregation
meth	meth
trailhead	trailhead
veterinarian	veterinarian
automaker	automaker
stroller	stroller
infield	infield
showtime	showtime
entree	entree
campground	campground
telecom	telecom
newscast	newscast
filibuster	filibuster
standout	standout
blueberry	blueberry
daycare	daycare
blowout	blowout
feta	feta
restroom	restroom
canola	canola
undersecretary	undersecretary
swat	swat
corral	corral
mitt	mitt
